Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 529 auto 1000 0.000
1 100 0.100 1000 1 591 auto 1000 0.000
1 100 0.200 1000 1 875 auto 1000 0.000
1 100 0.300 1000 1 2100 auto 1000 1.000
1 100 0.400 1000 1 2462 auto 1000 1.000
1 100 0.500 1000 1 2715 auto 1000 1.000
1 100 0.600 1000 1 2893 auto 1000 1.000
1 100 0.700 1000 1 3004 auto 1000 1.000
1 100 0.800 1000 1 3091 auto 1000 1.000
1 100 0.900 1000 1 3196 auto 1000 1.000
1 100 1.000 1000 1 3376 auto 1000 1.000
1 100 0.000 1000 1 529 auto 1000 0.000
1 100 0.100 1000 1 571 auto 1000 0.000
1 100 0.200 1000 1 749 auto 1000 0.000
1 100 0.300 1000 1 2100 auto 1000 1.000
1 100 0.400 1000 1 2459 auto 1000 1.000
1 100 0.500 1000 1 2708 auto 1000 1.000
1 100 0.600 1000 1 2882 auto 1000 1.000
1 100 0.700 1000 1 3006 auto 1000 1.000
1 100 0.800 1000 1 3098 auto 1000 1.000
1 100 0.900 1000 1 3161 auto 1000 1.000
1 100 1.000 1000 1 3375 auto 1000 1.000
1 100 0.000 1000 1 528 auto 1000 0.000
1 100 0.100 1000 1 571 auto 1000 0.000
1 100 0.200 1000 1 1006 auto 1000 0.044
1 100 0.300 1000 1 2109 auto 1000 1.000
1 100 0.400 1000 1 2464 auto 1000 1.000
1 100 0.500 1000 1 2701 auto 1000 1.000
1 100 0.600 1000 1 2893 auto 1000 1.000
1 100 0.700 1000 1 2998 auto 1000 1.000
1 100 0.800 1000 1 3102 auto 1000 1.000
1 100 0.900 1000 1 3178 auto 1000 1.000
1 100 1.000 1000 1 3373 auto 1000 1.000
1 100 0.000 1000 1 530 auto 1000 0.000
1 100 0.100 1000 1 596 auto 1000 0.000
1 100 0.200 1000 1 1270 auto 1000 0.745
1 100 0.300 1000 1 2086 auto 1000 1.000
1 100 0.400 1000 1 2459 auto 1000 1.000
1 100 0.500 1000 1 2693 auto 1000 1.000
1 100 0.600 1000 1 2886 auto 1000 1.000
1 100 0.700 1000 1 3012 auto 1000 1.000
1 100 0.800 1000 1 3099 auto 1000 1.000
1 100 0.900 1000 1 3170 auto 1000 1.000
1 100 1.000 1000 1 3373 auto 1000 1.000
1 100 0.000 1000 1 529 auto 1000 0.000
1 100 0.100 1000 1 574 auto 1000 0.000
1 100 0.200 1000 1 917 auto 1000 0.090
1 100 0.300 1000 1 2097 auto 1000 1.000
1 100 0.400 1000 1 2459 auto 1000 1.000
1 100 0.500 1000 1 2723 auto 1000 1.000
1 100 0.600 1000 1 2873 auto 1000 1.000
1 100 0.700 1000 1 3014 auto 1000 1.000
1 100 0.800 1000 1 3102 auto 1000 1.000
