Flag N d M NbThreads AvgTime Probability
1 10 0.000 1 2 0 0.000
1 10 0.020 1 2 0 0.000
1 10 0.040 1 2 0 0.000
1 10 0.060 1 2 0 0.000
1 10 0.080 1 2 0 0.000
1 10 0.100 1 2 0 0.000
1 10 0.120 1 2 0 0.000
1 10 0.140 1 2 0 0.000
1 10 0.160 1 2 0 0.000
1 10 0.180 1 2 0 0.000
1 10 0.200 1 2 0 0.000
1 10 0.220 1 2 0 1.000
1 10 0.240 1 2 0 0.000
1 10 0.260 1 2 0 1.000
1 10 0.280 1 2 0 1.000
1 10 0.300 1 2 0 1.000
1 10 0.320 1 2 0 0.000
1 10 0.340 1 2 0 1.000
1 10 0.360 1 2 0 1.000
1 10 0.380 1 2 0 1.000
1 10 0.400 1 2 0 1.000
1 10 0.420 1 2 0 1.000
1 10 0.440 1 2 0 1.000
1 10 0.460 1 2 0 1.000
1 10 0.480 1 2 0 1.000
1 10 0.500 1 2 0 1.000
1 10 0.520 1 2 0 1.000
1 10 0.540 1 2 0 1.000
1 10 0.560 1 2 0 1.000
1 10 0.580 1 2 0 1.000
1 10 0.600 1 2 0 1.000
1 10 0.620 1 2 0 1.000
1 10 0.640 1 2 0 1.000
1 10 0.660 1 2 0 1.000
1 10 0.680 1 2 0 1.000
1 10 0.700 1 2 0 1.000
1 10 0.720 1 2 0 1.000
1 10 0.740 1 2 0 1.000
1 10 0.760 1 2 0 1.000
1 10 0.780 1 2 0 1.000
1 10 0.800 1 2 0 1.000
1 10 0.820 1 2 0 1.000
1 10 0.840 1 2 0 1.000
1 10 0.860 1 2 0 1.000
1 10 0.880 1 2 0 1.000
1 10 0.900 1 2 0 1.000
1 10 0.920 1 2 0 1.000
1 10 0.940 1 2 0 1.000
1 10 0.960 1 2 0 1.000
1 10 0.980 1 2 0 1.000
1 10 1.000 1 2 0 1.000
1 10 0.000 10 2 0 0.000
1 10 0.020 10 2 0 0.000
1 10 0.040 10 2 0 0.000
1 10 0.060 10 2 0 0.000
1 10 0.080 10 2 0 0.000
1 10 0.100 10 2 0 0.000
1 10 0.120 10 2 0 0.000
1 10 0.140 10 2 0 0.000
1 10 0.160 10 2 0 0.000
1 10 0.180 10 2 0 0.000
1 10 0.200 10 2 0 1.000
1 10 0.220 10 2 0 1.000
1 10 0.240 10 2 0 0.500
1 10 0.260 10 2 0 1.000
1 10 0.280 10 2 0 1.000
1 10 0.300 10 2 0 0.500
1 10 0.320 10 2 0 1.000
1 10 0.340 10 2 0 1.000
1 10 0.360 10 2 0 0.500
1 10 0.380 10 2 0 1.000
1 10 0.400 10 2 0 1.000
1 10 0.420 10 2 0 1.000
1 10 0.440 10 2 0 1.000
1 10 0.460 10 2 0 1.000
1 10 0.480 10 2 0 1.000
1 10 0.500 10 2 0 1.000
1 10 0.520 10 2 0 1.000
1 10 0.540 10 2 0 1.000
1 10 0.560 10 2 0 1.000
1 10 0.580 10 2 0 1.000
1 10 0.600 10 2 0 1.000
1 10 0.620 10 2 0 1.000
1 10 0.640 10 2 0 1.000
1 10 0.660 10 2 0 1.000
1 10 0.680 10 2 0 1.000
1 10 0.700 10 2 0 1.000
1 10 0.720 10 2 0 1.000
1 10 0.740 10 2 0 1.000
1 10 0.760 10 2 0 1.000
1 10 0.780 10 2 0 1.000
1 10 0.800 10 2 0 1.000
1 10 0.820 10 2 0 1.000
1 10 0.840 10 2 0 1.000
1 10 0.860 10 2 0 1.000
1 10 0.880 10 2 0 1.000
1 10 0.900 10 2 0 1.000
1 10 0.920 10 2 0 1.000
1 10 0.940 10 2 0 1.000
1 10 0.960 10 2 0 1.000
1 10 0.980 10 2 0 1.000
1 10 1.000 10 2 0 1.000
1 10 0.000 100 2 0 0.000
1 10 0.020 100 2 0 0.000
1 10 0.040 100 2 1 0.000
1 10 0.060 100 2 1 0.000
1 10 0.080 100 2 1 0.000
1 10 0.100 100 2 1 0.000
1 10 0.120 100 2 1 0.000
1 10 0.140 100 2 1 0.000
1 10 0.160 100 2 1 0.500
1 10 0.180 100 2 1 0.000
1 10 0.200 100 2 1 0.000
1 10 0.220 100 2 1 1.000
1 10 0.240 100 2 2 1.000
1 10 0.260 100 2 1 1.000
1 10 0.280 100 2 2 1.000
1 10 0.300 100 2 2 1.000
1 10 0.320 100 2 2 1.000
1 10 0.340 100 2 2 1.000
1 10 0.360 100 2 2 1.000
1 10 0.380 100 2 2 1.000
1 10 0.400 100 2 2 1.000
1 10 0.420 100 2 2 1.000
1 10 0.440 100 2 2 1.000
1 10 0.460 100 2 2 1.000
1 10 0.480 100 2 2 1.000
1 10 0.500 100 2 2 1.000
1 10 0.520 100 2 2 1.000
1 10 0.540 100 2 2 1.000
1 10 0.560 100 2 2 1.000
1 10 0.580 100 2 2 1.000
1 10 0.600 100 2 2 1.000
1 10 0.620 100 2 2 1.000
1 10 0.640 100 2 2 1.000
1 10 0.660 100 2 2 1.000
1 10 0.680 100 2 2 1.000
1 10 0.700 100 2 2 1.000
1 10 0.720 100 2 2 1.000
1 10 0.740 100 2 2 1.000
1 10 0.760 100 2 2 1.000
1 10 0.780 100 2 2 1.000
1 10 0.800 100 2 2 1.000
1 10 0.820 100 2 2 1.000
1 10 0.840 100 2 2 1.000
1 10 0.860 100 2 2 1.000
1 10 0.880 100 2 2 1.000
1 10 0.900 100 2 2 1.000
1 10 0.920 100 2 2 1.000
1 10 0.940 100 2 2 1.000
1 10 0.960 100 2 2 1.000
1 10 0.980 100 2 2 1.000
1 10 1.000 100 2 2 1.000
1 10 0.000 1000 2 5 0.000
1 10 0.020 1000 2 5 0.000
1 10 0.040 1000 2 6 0.000
1 10 0.060 1000 2 7 0.000
1 10 0.080 1000 2 6 0.000
1 10 0.100 1000 2 7 0.000
1 10 0.120 1000 2 8 0.000
1 10 0.140 1000 2 8 0.000
1 10 0.160 1000 2 12 0.500
1 10 0.180 1000 2 7 0.000
1 10 0.200 1000 2 13 0.000
1 10 0.220 1000 2 14 1.000
1 10 0.240 1000 2 16 0.500
1 10 0.260 1000 2 16 1.000
1 10 0.280 1000 2 15 1.000
1 10 0.300 1000 2 14 1.000
1 10 0.320 1000 2 16 1.000
1 10 0.340 1000 2 17 1.000
1 10 0.360 1000 2 17 1.000
1 10 0.380 1000 2 17 1.000
1 10 0.400 1000 2 18 1.000
1 10 0.420 1000 2 19 1.000
1 10 0.440 1000 2 19 1.000
1 10 0.460 1000 2 20 1.000
1 10 0.480 1000 2 19 1.000
1 10 0.500 1000 2 20 1.000
1 10 0.520 1000 2 20 1.000
1 10 0.540 1000 2 21 1.000
1 10 0.560 1000 2 22 1.000
1 10 0.580 1000 2 21 1.000
1 10 0.600 1000 2 22 1.000
1 10 0.620 1000 2 21 1.000
1 10 0.640 1000 2 21 1.000
1 10 0.660 1000 2 22 1.000
1 10 0.680 1000 2 22 1.000
1 10 0.700 1000 2 22 1.000
1 10 0.720 1000 2 22 1.000
1 10 0.740 1000 2 23 1.000
1 10 0.760 1000 2 22 1.000
1 10 0.780 1000 2 23 1.000
1 10 0.800 1000 2 23 1.000
1 10 0.820 1000 2 23 1.000
1 10 0.840 1000 2 23 1.000
1 10 0.860 1000 2 23 1.000
