Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 635 auto 1000 0.000
1 100 0.100 1000 1 693 auto 1000 0.000
1 100 0.200 1000 1 1233 auto 1000 0.000
1 100 0.300 1000 1 2596 auto 1000 1.000
1 100 0.400 1000 1 3021 auto 1000 1.000
1 100 0.500 1000 1 3343 auto 1000 1.000
1 100 0.600 1000 1 3556 auto 1000 1.000
1 100 0.700 1000 1 3713 auto 1000 1.000
1 100 0.800 1000 1 3843 auto 1000 1.000
1 100 0.900 1000 1 3950 auto 1000 1.000
1 100 1.000 1000 1 4167 auto 1000 1.000
1 100 0.000 1000 1 636 auto 128 0.000
1 100 0.100 1000 1 714 auto 128 0.000
1 100 0.200 1000 1 1069 auto 128 0.000
1 100 0.300 1000 1 2591 auto 128 1.000
1 100 0.400 1000 1 3028 auto 128 1.000
1 100 0.500 1000 1 3351 auto 128 1.000
1 100 0.600 1000 1 3567 auto 128 1.000
1 100 0.700 1000 1 3734 auto 128 1.000
1 100 0.800 1000 1 3842 auto 128 1.000
1 100 0.900 1000 1 3956 auto 128 1.000
1 100 1.000 1000 1 4168 auto 128 1.000
1 100 0.000 1000 1 637 auto 1 0.000
1 100 0.100 1000 1 708 auto 1 0.000
1 100 0.200 1000 1 1325 auto 1 0.000
1 100 0.300 1000 1 2580 auto 1 1.000
1 100 0.400 1000 1 3031 auto 1 1.000
1 100 0.500 1000 1 3339 auto 1 1.000
1 100 0.600 1000 1 3582 auto 1 1.000
1 100 0.700 1000 1 3740 auto 1 1.000
1 100 0.800 1000 1 3856 auto 1 1.000
1 100 0.900 1000 1 3963 auto 1 1.000
1 100 1.000 1000 1 4186 auto 1 1.000
1 100 0.000 1000 1 636 auto 256 0.000
1 100 0.100 1000 1 700 auto 256 0.000
1 100 0.200 1000 1 1161 auto 256 0.000
1 100 0.300 1000 1 2585 auto 256 1.000
1 100 0.400 1000 1 3037 auto 256 1.000
1 100 0.500 1000 1 3349 auto 256 1.000
1 100 0.600 1000 1 3569 auto 256 1.000
1 100 0.700 1000 1 3734 auto 256 1.000
1 100 0.800 1000 1 3839 auto 256 1.000
1 100 0.900 1000 1 3958 auto 256 1.000
1 100 1.000 1000 1 4199 auto 256 1.000
1 100 0.000 1000 1 636 auto 2 0.000
1 100 0.100 1000 1 696 auto 2 0.000
1 100 0.200 1000 1 1286 auto 2 0.000
1 100 0.300 1000 1 2580 auto 2 1.000
1 100 0.400 1000 1 3027 auto 2 1.000
1 100 0.500 1000 1 3343 auto 2 1.000
1 100 0.600 1000 1 3577 auto 2 1.000
1 100 0.700 1000 1 3732 auto 2 1.000
1 100 0.800 1000 1 3856 auto 2 1.000
1 100 0.900 1000 1 3957 auto 2 1.000
1 100 1.000 1000 1 4168 auto 2 1.000
1 100 0.000 1000 1 637 auto 4 0.000
1 100 0.100 1000 1 746 auto 4 0.000
1 100 0.200 1000 1 936 auto 4 0.000
1 100 0.300 1000 1 2583 auto 4 1.000
1 100 0.400 1000 1 3036 auto 4 1.000
1 100 0.500 1000 1 3340 auto 4 1.000
1 100 0.600 1000 1 3554 auto 4 1.000
1 100 0.700 1000 1 3719 auto 4 1.000
1 100 0.800 1000 1 3830 auto 4 1.000
1 100 0.900 1000 1 3955 auto 4 1.000
1 100 1.000 1000 1 4164 auto 4 1.000
1 100 0.000 1000 1 635 auto 512 0.000
1 100 0.100 1000 1 693 auto 512 0.000
1 100 0.200 1000 1 917 auto 512 0.000
1 100 0.300 1000 1 2584 auto 512 1.000
1 100 0.400 1000 1 3020 auto 512 1.000
1 100 0.500 1000 1 3332 auto 512 1.000
1 100 0.600 1000 1 3563 auto 512 1.000
1 100 0.700 1000 1 3718 auto 512 1.000
1 100 0.800 1000 1 3841 auto 512 1.000
1 100 0.900 1000 1 3952 auto 512 1.000
1 100 1.000 1000 1 4168 auto 512 1.000
1 100 0.000 1000 1 637 auto 8 0.000
1 100 0.100 1000 1 716 auto 8 0.000
1 100 0.200 1000 1 995 auto 8 0.000
1 100 0.300 1000 1 2593 auto 8 1.000
1 100 0.400 1000 1 3037 auto 8 1.000
1 100 0.500 1000 1 3341 auto 8 1.000
1 100 0.600 1000 1 3565 auto 8 1.000
1 100 0.700 1000 1 3723 auto 8 1.000
1 100 0.800 1000 1 3832 auto 8 1.000
1 100 0.900 1000 1 3956 auto 8 1.000
1 100 1.000 1000 1 4167 auto 8 1.000
