Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 635 auto 1000 0.000
1 100 0.100 1000 1 693 auto 1000 0.000
1 100 0.200 1000 1 1233 auto 1000 0.000
1 100 0.300 1000 1 2596 auto 1000 1.000
1 100 0.400 1000 1 3021 auto 1000 1.000
1 100 0.500 1000 1 3343 auto 1000 1.000
1 100 0.600 1000 1 3556 auto 1000 1.000
1 100 0.700 1000 1 3713 auto 1000 1.000
1 100 0.800 1000 1 3843 auto 1000 1.000
1 100 0.900 1000 1 3950 auto 1000 1.000
1 100 1.000 1000 1 4167 auto 1000 1.000
