Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 640 dynamic 1000 0.000
1 100 0.100 1000 1 708 dynamic 1000 0.000
1 100 0.200 1000 1 1032 dynamic 1000 0.000
1 100 0.300 1000 1 2586 dynamic 1000 1.000
1 100 0.400 1000 1 3033 dynamic 1000 1.000
1 100 0.500 1000 1 3353 dynamic 1000 1.000
1 100 0.600 1000 1 3582 dynamic 1000 1.000
1 100 0.700 1000 1 3748 dynamic 1000 1.000
1 100 0.800 1000 1 3841 dynamic 1000 1.000
1 100 0.900 1000 1 3954 dynamic 1000 1.000
1 100 1.000 1000 1 4181 dynamic 1000 1.000
