Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 660 static 1000 0.000
1 100 0.100 1000 1 722 static 1000 0.000
1 100 0.200 1000 1 1266 static 1000 0.299
1 100 0.300 1000 1 2664 static 1000 1.000
1 100 0.400 1000 1 3119 static 1000 1.000
1 100 0.500 1000 1 3441 static 1000 1.000
1 100 0.600 1000 1 3678 static 1000 1.000
1 100 0.700 1000 1 3832 static 1000 1.000
1 100 0.800 1000 1 3951 static 1000 1.000
1 100 0.900 1000 1 4060 static 1000 1.000
1 100 1.000 1000 1 4297 static 1000 1.000
