Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 2 325 guided 256 0.000
1 100 0.100 1000 2 371 guided 256 0.000
1 100 0.200 1000 2 515 guided 256 0.000
1 100 0.300 1000 2 1653 guided 256 1.000
1 100 0.400 1000 2 1923 guided 256 1.000
1 100 0.500 1000 2 2133 guided 256 1.000
1 100 0.600 1000 2 2273 guided 256 1.000
1 100 0.700 1000 2 2385 guided 256 1.000
1 100 0.800 1000 2 2454 guided 256 1.000
1 100 0.900 1000 2 2536 guided 256 1.000
1 100 1.000 1000 2 2619 guided 256 1.000
