Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 640 auto 1000 0.000
1 100 0.100 1000 1 708 auto 1000 0.000
1 100 0.200 1000 1 1026 auto 1000 0.160
1 100 0.300 1000 1 2608 auto 1000 1.000
1 100 0.400 1000 1 3078 auto 1000 1.000
1 100 0.500 1000 1 3386 auto 1000 1.000
1 100 0.600 1000 1 3594 auto 1000 1.000
1 100 0.700 1000 1 3763 auto 1000 1.000
1 100 0.800 1000 1 3882 auto 1000 1.000
1 100 0.900 1000 1 3987 auto 1000 1.000
1 100 1.000 1000 1 4213 auto 1000 1.000
