Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 1 647 static 128 0.000
1 100 0.100 1000 1 711 static 128 0.000
1 100 0.200 1000 1 1239 static 128 0.000
1 100 0.300 1000 1 2624 static 128 1.000
1 100 0.400 1000 1 3033 static 128 1.000
1 100 0.500 1000 1 3374 static 128 1.000
1 100 0.600 1000 1 3601 static 128 1.000
1 100 0.700 1000 1 3761 static 128 1.000
1 100 0.800 1000 1 3886 static 128 1.000
1 100 0.900 1000 1 3984 static 128 1.000
1 100 1.000 1000 1 4237 static 128 1.000
