Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 169 dynamic 8 0.000
1 100 0.100 1000 4 186 dynamic 8 0.000
1 100 0.200 1000 4 296 dynamic 8 0.160
1 100 0.300 1000 4 846 dynamic 8 1.000
1 100 0.400 1000 4 984 dynamic 8 1.000
1 100 0.500 1000 4 1091 dynamic 8 1.000
1 100 0.600 1000 4 1166 dynamic 8 1.000
1 100 0.700 1000 4 1223 dynamic 8 1.000
1 100 0.800 1000 4 1264 dynamic 8 1.000
1 100 0.900 1000 4 1295 dynamic 8 1.000
1 100 1.000 1000 4 1340 dynamic 8 1.000
