Flag N d M NbThreads AvgTime Schedule_kind Chunk_size Probability
1 100 0.000 1000 4 168 guided 64 0.000
1 100 0.100 1000 4 183 guided 64 0.000
1 100 0.200 1000 4 399 guided 64 0.000
1 100 0.300 1000 4 842 guided 64 1.000
1 100 0.400 1000 4 980 guided 64 1.000
1 100 0.500 1000 4 1076 guided 64 1.000
1 100 0.600 1000 4 1158 guided 64 1.000
1 100 0.700 1000 4 1207 guided 64 1.000
1 100 0.800 1000 4 1253 guided 64 1.000
1 100 0.900 1000 4 1286 guided 64 1.000
1 100 1.000 1000 4 1340 guided 64 1.000
