Flag N d M NbThreads AvgTime Probability
1 10 0.000 1000 1 4 0.000
1 10 0.020 1000 1 4 0.000
1 10 0.040 1000 1 4 0.000
1 10 0.060 1000 1 4 0.001
1 10 0.080 1000 1 4 0.003
1 10 0.100 1000 1 5 0.011
1 10 0.120 1000 1 5 0.033
1 10 0.140 1000 1 5 0.065
1 10 0.160 1000 1 5 0.158
1 10 0.180 1000 1 6 0.274
1 10 0.200 1000 1 7 0.395
1 10 0.220 1000 1 7 0.520
1 10 0.240 1000 1 8 0.651
1 10 0.260 1000 1 8 0.785
1 10 0.280 1000 1 9 0.872
1 10 0.300 1000 1 9 0.920
1 10 0.320 1000 1 10 0.932
1 10 0.340 1000 1 10 0.973
1 10 0.360 1000 1 10 0.984
1 10 0.380 1000 1 11 0.992
1 10 0.400 1000 1 11 0.997
1 10 0.420 1000 1 11 0.998
1 10 0.440 1000 1 11 0.999
1 10 0.460 1000 1 12 0.999
1 10 0.480 1000 1 12 1.000
1 10 0.500 1000 1 12 0.999
1 10 0.520 1000 1 15 1.000
1 10 0.540 1000 1 12 1.000
1 10 0.560 1000 1 12 1.000
1 10 0.580 1000 1 12 1.000
1 10 0.600 1000 1 12 1.000
1 10 0.620 1000 1 12 1.000
1 10 0.640 1000 1 16 1.000
1 10 0.660 1000 1 18 1.000
1 10 0.680 1000 1 16 1.000
1 10 0.700 1000 1 12 1.000
1 10 0.720 1000 1 13 1.000
1 10 0.740 1000 1 13 1.000
1 10 0.760 1000 1 13 1.000
1 10 0.780 1000 1 13 1.000
1 10 0.800 1000 1 13 1.000
1 10 0.820 1000 1 13 1.000
1 10 0.840 1000 1 13 1.000
1 10 0.860 1000 1 13 1.000
1 10 0.880 1000 1 13 1.000
1 10 0.900 1000 1 13 1.000
1 10 0.920 1000 1 14 1.000
1 10 0.940 1000 1 19 1.000
1 10 0.960 1000 1 13 1.000
1 10 0.980 1000 1 13 1.000
1 10 1.000 1000 1 13 1.000
1 50 0.000 1000 1 74 0.000
1 50 0.020 1000 1 73 0.000
1 50 0.040 1000 1 76 0.000
1 50 0.060 1000 1 76 0.000
1 50 0.080 1000 1 79 0.000
1 50 0.100 1000 1 90 0.000
1 50 0.120 1000 1 86 0.000
1 50 0.140 1000 1 91 0.001
1 50 0.160 1000 1 96 0.004
1 50 0.180 1000 1 110 0.071
1 50 0.200 1000 1 135 0.326
1 50 0.220 1000 1 168 0.680
1 50 0.240 1000 1 194 0.919
1 50 0.260 1000 1 214 0.987
1 50 0.280 1000 1 238 0.999
1 50 0.300 1000 1 240 1.000
1 50 0.320 1000 1 247 1.000
1 50 0.340 1000 1 257 1.000
1 50 0.360 1000 1 266 1.000
1 50 0.380 1000 1 272 1.000
1 50 0.400 1000 1 277 1.000
1 50 0.420 1000 1 288 1.000
1 50 0.440 1000 1 289 1.000
1 50 0.460 1000 1 296 1.000
1 50 0.480 1000 1 301 1.000
1 50 0.500 1000 1 310 1.000
1 50 0.520 1000 1 309 1.000
1 50 0.540 1000 1 312 1.000
1 50 0.560 1000 1 318 1.000
1 50 0.580 1000 1 322 1.000
1 50 0.600 1000 1 322 1.000
1 50 0.620 1000 1 329 1.000
1 50 0.640 1000 1 330 1.000
1 50 0.660 1000 1 332 1.000
1 50 0.680 1000 1 346 1.000
1 50 0.700 1000 1 338 1.000
1 50 0.720 1000 1 338 1.000
1 50 0.740 1000 1 345 1.000
1 50 0.760 1000 1 342 1.000
1 50 0.780 1000 1 344 1.000
1 50 0.800 1000 1 349 1.000
1 50 0.820 1000 1 348 1.000
1 50 0.840 1000 1 353 1.000
1 50 0.860 1000 1 357 1.000
1 50 0.880 1000 1 359 1.000
1 50 0.900 1000 1 362 1.000
1 50 0.920 1000 1 361 1.000
1 50 0.940 1000 1 363 1.000
1 50 0.960 1000 1 374 1.000
