Flag N d M NbThreads AvgTime Probability
1 10 0.000 1000 8 27 0.000
1 10 0.010 1000 8 20 0.000
1 10 0.020 1000 8 30 0.000
1 10 0.030 1000 8 19 0.000
1 10 0.040 1000 8 19 0.000
1 10 0.050 1000 8 30 0.000
1 10 0.060 1000 8 34 0.000
1 10 0.070 1000 8 28 0.002
1 10 0.080 1000 8 24 0.000
1 10 0.090 1000 8 21 0.008
1 10 0.100 1000 8 31 0.011
1 10 0.110 1000 8 19 0.018
1 10 0.120 1000 8 29 0.038
1 10 0.130 1000 8 22 0.070
1 10 0.140 1000 8 20 0.094
1 10 0.150 1000 8 22 0.113
1 10 0.160 1000 8 19 0.156
1 10 0.170 1000 8 19 0.215
1 10 0.180 1000 8 18 0.275
1 10 0.190 1000 8 24 0.328
1 10 0.200 1000 8 18 0.391
1 10 0.210 1000 8 21 0.451
1 10 0.220 1000 8 26 0.526
1 10 0.230 1000 8 19 0.614
1 10 0.240 1000 8 22 0.637
1 10 0.250 1000 8 22 0.704
1 10 0.260 1000 8 21 0.754
1 10 0.270 1000 8 21 0.820
1 10 0.280 1000 8 22 0.856
1 10 0.290 1000 8 21 0.889
1 10 0.300 1000 8 22 0.902
1 10 0.310 1000 8 25 0.946
1 10 0.320 1000 8 22 0.946
1 10 0.330 1000 8 22 0.948
1 10 0.340 1000 8 21 0.968
1 10 0.350 1000 8 22 0.975
1 10 0.360 1000 8 21 0.979
1 10 0.370 1000 8 24 0.986
1 10 0.380 1000 8 25 0.990
1 10 0.390 1000 8 23 0.990
1 10 0.400 1000 8 28 0.996
1 10 0.410 1000 8 24 0.998
1 10 0.420 1000 8 25 0.999
1 10 0.430 1000 8 37 0.999
1 10 0.440 1000 8 23 0.996
1 10 0.450 1000 8 21 0.997
1 10 0.460 1000 8 23 0.998
1 10 0.470 1000 8 24 1.000
1 10 0.480 1000 8 24 0.999
1 10 0.490 1000 8 33 1.000
1 10 0.500 1000 8 26 1.000
1 10 0.510 1000 8 25 1.000
1 10 0.520 1000 8 27 1.000
1 10 0.530 1000 8 23 1.000
1 10 0.540 1000 8 25 1.000
1 10 0.550 1000 8 26 1.000
1 10 0.560 1000 8 26 1.000
1 10 0.570 1000 8 37 1.000
1 10 0.580 1000 8 27 1.000
1 10 0.590 1000 8 25 1.000
1 10 0.600 1000 8 25 1.000
1 10 0.610 1000 8 28 1.000
1 10 0.620 1000 8 28 1.000
1 10 0.630 1000 8 28 1.000
1 10 0.640 1000 8 26 1.000
1 10 0.650 1000 8 29 1.000
1 10 0.660 1000 8 27 1.000
1 10 0.670 1000 8 26 1.000
1 10 0.680 1000 8 37 1.000
1 10 0.690 1000 8 28 1.000
1 10 0.700 1000 8 29 1.000
1 10 0.710 1000 8 29 1.000
1 10 0.720 1000 8 28 1.000
1 10 0.730 1000 8 28 1.000
1 10 0.740 1000 8 26 1.000
1 10 0.750 1000 8 31 1.000
1 10 0.760 1000 8 27 1.000
1 10 0.770 1000 8 28 1.000
1 10 0.780 1000 8 31 1.000
1 10 0.790 1000 8 31 1.000
1 10 0.800 1000 8 28 1.000
1 10 0.810 1000 8 30 1.000
1 10 0.820 1000 8 30 1.000
1 10 0.830 1000 8 31 1.000
1 10 0.840 1000 8 30 1.000
1 10 0.850 1000 8 32 1.000
1 10 0.860 1000 8 31 1.000
1 10 0.870 1000 8 32 1.000
1 10 0.880 1000 8 35 1.000
1 10 0.890 1000 8 31 1.000
1 10 0.900 1000 8 31 1.000
1 10 0.910 1000 8 31 1.000
1 10 0.920 1000 8 33 1.000
1 10 0.930 1000 8 44 1.000
1 10 0.940 1000 8 34 1.000
1 10 0.950 1000 8 33 1.000
1 10 0.960 1000 8 33 1.000
1 10 0.970 1000 8 36 1.000
1 10 0.980 1000 8 34 1.000
1 10 0.990 1000 8 34 1.000
1 10 1.000 1000 8 35 1.000
1 50 0.000 1000 8 444 0.000
1 50 0.010 1000 8 424 0.000
