Flag N d M NbThreads AvgTime Probability
1 10 0.000 1000 1 4 0.000
1 10 0.005 1000 1 4 0.000
1 10 0.010 1000 1 4 0.000
1 10 0.015 1000 1 4 0.000
1 10 0.020 1000 1 4 0.000
1 10 0.025 1000 1 4 0.000
1 10 0.030 1000 1 4 0.000
1 10 0.035 1000 1 4 0.000
1 10 0.040 1000 1 4 0.000
1 10 0.045 1000 1 4 0.000
1 10 0.050 1000 1 4 0.000
1 10 0.055 1000 1 4 0.000
1 10 0.060 1000 1 4 0.000
1 10 0.065 1000 1 4 0.000
1 10 0.070 1000 1 4 0.002
1 10 0.075 1000 1 4 0.002
1 10 0.080 1000 1 6 0.002
1 10 0.085 1000 1 5 0.002
1 10 0.090 1000 1 4 0.003
1 10 0.095 1000 1 4 0.003
1 10 0.100 1000 1 5 0.008
1 10 0.105 1000 1 7 0.008
1 10 0.110 1000 1 5 0.019
1 10 0.115 1000 1 5 0.019
1 10 0.120 1000 1 5 0.023
1 10 0.125 1000 1 5 0.023
1 10 0.130 1000 1 5 0.057
1 10 0.135 1000 1 5 0.057
1 10 0.140 1000 1 5 0.082
1 10 0.145 1000 1 5 0.082
1 10 0.150 1000 1 5 0.112
1 10 0.155 1000 1 5 0.112
1 10 0.160 1000 1 5 0.158
1 10 0.165 1000 1 6 0.158
1 10 0.170 1000 1 8 0.195
1 10 0.175 1000 1 6 0.195
1 10 0.180 1000 1 7 0.282
1 10 0.185 1000 1 6 0.282
1 10 0.190 1000 1 6 0.315
1 10 0.195 1000 1 7 0.315
1 10 0.200 1000 1 6 0.370
1 10 0.205 1000 1 6 0.370
1 10 0.210 1000 1 7 0.435
1 10 0.215 1000 1 7 0.435
1 10 0.220 1000 1 7 0.527
1 10 0.225 1000 1 7 0.527
1 10 0.230 1000 1 7 0.600
1 10 0.235 1000 1 7 0.600
1 10 0.240 1000 1 8 0.662
1 10 0.245 1000 1 8 0.662
1 10 0.250 1000 1 8 0.725
1 10 0.255 1000 1 9 0.725
1 10 0.260 1000 1 9 0.763
1 10 0.265 1000 1 8 0.763
1 10 0.270 1000 1 8 0.810
1 10 0.275 1000 1 9 0.810
1 10 0.280 1000 1 9 0.821
1 10 0.285 1000 1 9 0.821
1 10 0.290 1000 1 9 0.861
1 10 0.295 1000 1 9 0.861
1 10 0.300 1000 1 9 0.901
1 10 0.305 1000 1 9 0.901
1 10 0.310 1000 1 10 0.928
1 10 0.315 1000 1 9 0.928
1 10 0.320 1000 1 9 0.946
1 10 0.325 1000 1 10 0.946
1 10 0.330 1000 1 10 0.957
1 10 0.335 1000 1 11 0.957
1 10 0.340 1000 1 10 0.961
1 10 0.345 1000 1 10 0.961
1 10 0.350 1000 1 10 0.969
1 10 0.355 1000 1 10 0.969
1 10 0.360 1000 1 10 0.979
1 10 0.365 1000 1 10 0.979
1 10 0.370 1000 1 10 0.988
1 10 0.375 1000 1 11 0.988
1 10 0.380 1000 1 11 0.991
1 10 0.385 1000 1 10 0.991
1 10 0.390 1000 1 11 0.994
1 10 0.395 1000 1 11 0.994
1 10 0.400 1000 1 11 0.995
1 10 0.405 1000 1 11 0.995
1 10 0.410 1000 1 11 0.999
1 10 0.415 1000 1 11 0.999
1 10 0.420 1000 1 11 0.999
1 10 0.425 1000 1 11 0.999
1 10 0.430 1000 1 11 0.997
1 10 0.435 1000 1 11 0.997
1 10 0.440 1000 1 11 0.999
1 10 0.445 1000 1 11 0.999
1 10 0.450 1000 1 11 0.997
1 10 0.455 1000 1 12 0.997
1 10 0.460 1000 1 11 0.999
1 10 0.465 1000 1 11 0.999
1 10 0.470 1000 1 11 0.999
1 10 0.475 1000 1 11 0.999
1 10 0.480 1000 1 11 0.999
1 10 0.485 1000 1 12 0.999
1 10 0.490 1000 1 11 0.999
1 10 0.495 1000 1 12 0.999
1 10 0.500 1000 1 11 1.000
1 10 0.505 1000 1 12 1.000
1 10 0.510 1000 1 12 1.000
1 10 0.515 1000 1 12 1.000
1 10 0.520 1000 1 12 1.000
1 10 0.525 1000 1 12 1.000
1 10 0.530 1000 1 12 1.000
1 10 0.535 1000 1 13 1.000
1 10 0.540 1000 1 17 1.000
1 10 0.545 1000 1 12 1.000
1 10 0.550 1000 1 12 1.000
1 10 0.555 1000 1 12 1.000
1 10 0.560 1000 1 12 1.000
1 10 0.565 1000 1 13 1.000
1 10 0.570 1000 1 12 1.000
1 10 0.575 1000 1 13 1.000
1 10 0.580 1000 1 14 1.000
1 10 0.585 1000 1 12 1.000
1 10 0.590 1000 1 12 1.000
1 10 0.595 1000 1 12 1.000
1 10 0.600 1000 1 12 1.000
1 10 0.605 1000 1 12 1.000
1 10 0.610 1000 1 12 1.000
1 10 0.615 1000 1 13 1.000
1 10 0.620 1000 1 12 1.000
1 10 0.625 1000 1 12 1.000
1 10 0.630 1000 1 12 1.000
1 10 0.635 1000 1 12 1.000
1 10 0.640 1000 1 12 1.000
1 10 0.645 1000 1 12 1.000
1 10 0.650 1000 1 12 1.000
1 10 0.655 1000 1 13 1.000
1 10 0.660 1000 1 12 1.000
1 10 0.665 1000 1 13 1.000
1 10 0.670 1000 1 16 1.000
1 10 0.675 1000 1 12 1.000
1 10 0.680 1000 1 13 1.000
1 10 0.685 1000 1 12 1.000
1 10 0.690 1000 1 12 1.000
1 10 0.695 1000 1 13 1.000
1 10 0.700 1000 1 12 1.000
1 10 0.705 1000 1 13 1.000
1 10 0.710 1000 1 16 1.000
1 10 0.715 1000 1 13 1.000
1 10 0.720 1000 1 13 1.000
1 10 0.725 1000 1 13 1.000
1 10 0.730 1000 1 12 1.000
1 10 0.735 1000 1 14 1.000
1 10 0.740 1000 1 13 1.000
1 10 0.745 1000 1 12 1.000
1 10 0.750 1000 1 13 1.000
1 10 0.755 1000 1 12 1.000
1 10 0.760 1000 1 12 1.000
1 10 0.765 1000 1 13 1.000
1 10 0.770 1000 1 13 1.000
1 10 0.775 1000 1 13 1.000
1 10 0.780 1000 1 13 1.000
1 10 0.785 1000 1 13 1.000
1 10 0.790 1000 1 13 1.000
1 10 0.795 1000 1 13 1.000
1 10 0.800 1000 1 13 1.000
1 10 0.805 1000 1 13 1.000
1 10 0.810 1000 1 13 1.000
1 10 0.815 1000 1 13 1.000
1 10 0.820 1000 1 13 1.000
1 10 0.825 1000 1 13 1.000
1 10 0.830 1000 1 13 1.000
1 10 0.835 1000 1 13 1.000
1 10 0.840 1000 1 13 1.000
1 10 0.845 1000 1 13 1.000
1 10 0.850 1000 1 13 1.000
1 10 0.855 1000 1 13 1.000
1 10 0.860 1000 1 13 1.000
1 10 0.865 1000 1 13 1.000
1 10 0.870 1000 1 13 1.000
1 10 0.875 1000 1 13 1.000
1 10 0.880 1000 1 13 1.000
1 10 0.885 1000 1 13 1.000
1 10 0.890 1000 1 13 1.000
1 10 0.895 1000 1 13 1.000
1 10 0.900 1000 1 14 1.000
1 10 0.905 1000 1 13 1.000
1 10 0.910 1000 1 13 1.000
1 10 0.915 1000 1 13 1.000
1 10 0.920 1000 1 13 1.000
1 10 0.925 1000 1 13 1.000
1 10 0.930 1000 1 13 1.000
